Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0 to 5 cm Depth Average Temp (°C),0 to 5 cm Depth Average WFV (%)
12/04/2019,80,0.4,3.5,-2.1,0,NE,22.3,44,5.9,2,16.4
13/04/2019,57,3.6,12.7,-4.2,0,SSW,10.3,22.2,0,4.1,15.1
14/04/2019,73,3.7,9.8,-2.5,0,SSE,18.1,39.6,6.1,5.8,13.2
15/04/2019,89,5.8,14.6,0.2,0,S,17.7,45.9,0,3.8,0
16/04/2019,73,8.2,16,1.1,0,SW,12.6,34.7,2.4,7.9,13.5
17/04/2019,74,7.6,12.9,1.8,0,ESE,10.4,26.1,0,4.6,12.4
18/04/2019,62,7.9,15,-1.2,0,W,9.1,22.5,0,No Data,No Data
19/04/2019,63,12.2,21.8,0.8,0,SSW,17.6,42.6,0,14.5,10.4
20/04/2019,60,12.3,17.1,7.1,0,SSW,9.5,24.9,0,11,10.3
21/04/2019,60,11.4,20,2.8,0,SW,6.3,26.8,0,10.7,10.3
22/04/2019,67,8.9,16.1,1.4,0,W,11.7,30.8,0,9.1,10.1
23/04/2019,65,10.5,18.1,0,0,S,14.8,42,0,9.7,10
25/04/2019,58,7.4,13.8,0.8,0,WNW,21.1,55.7,2.9,8,14.6
26/04/2019,63,5.4,11.9,-1.5,0,SW,13.5,36.5,0,9.2,19.7
27/04/2019,60,4.3,11,-3,0,E,10.6,28.9,0,10.3,19.8
28/04/2019,60,4.1,7.4,0.8,3.4,ENE,18.3,36,4.3,4.9,19.7
29/04/2019,92,2.6,5.2,-0.3,0.6,ENE,13.3,30.7,0,2.8,23.9
30/04/2019,82,3.9,8.4,-0.4,0.2,SE,6.2,19.9,0,5,22.1
01/05/2019,87,4.2,10,-1.1,0,SSW,3.8,12.2,0,5.8,21.1
02/05/2019,62,7.6,16.9,-3.2,0,SSW,10.2,36,0,12.3,20.7
03/05/2019,66,10.2,16.6,5.2,2.2,SSW,13.4,30.3,0.6,10.9,21.2
04/05/2019,52,7.8,13,2.5,0,WNW,21.5,43.3,5.4,9.5,20.2
05/05/2019,66,2.1,5.6,-2.6,0,NW,16.3,35,3.6,6.2,19.7
06/05/2019,60,1.3,7,-3,0,SW,9,23.1,0,5.9,19.7
07/05/2019,49,7,16.2,-6.1,0,S,11.5,30.4,0,12.8,19.7
08/05/2019,60,6.9,10.5,1.8,0,WSW,20.1,40.4,0,8.8,19.3
09/05/2019,47,5.7,12,-2.4,0,WSW,15.9,36.1,0,9.5,19.2
10/05/2019,41,9.5,17.5,-4.4,0,S,13.2,32.4,0,14.7,19.4
11/05/2019,65,12.8,21.8,6.8,1.6,SSW,13.9,31.7,0.5,12.8,19.2
12/05/2019,68,11.2,19.5,1.3,0,SW,8.7,20.2,0,14.1,19.4
13/05/2019,44,18.2,27.4,7.8,0,SW,12.2,34.2,0,18.8,19
14/05/2019,43,12.5,17.2,3.9,0,W,16.5,35.2,0,15.7,18.3
15/05/2019,69,9.8,16,1.2,4.2,S,11.4,46.1,0,9.6,18.7
16/05/2019,66,7.8,11.4,2,0,WNW,24.7,50.6,4.2,11.2,19.6
17/05/2019,56,8.1,15.8,-3.8,0,ESE,11.7,35,0,13.3,19
18/05/2019,48,7.8,12.8,2.8,0,NNE,26.6,45.8,10.6,9.9,18.5
19/05/2019,46,9.6,15.2,2.9,0,ENE,19.2,36.7,7,12.1,18.4
20/05/2019,46,13.7,22.3,3.5,0,SSE,9.1,27.3,0,16.9,17.8
21/05/2019,38,15.4,23.4,1.8,0,E,12.3,33.2,0,17.8,16.1
22/05/2019,74,11.1,14.5,8.2,3,ENE,19.7,42.4,7.9,11.2,16.6
23/05/2019,62,14.4,23,8.3,0,SSW,11,24.5,0,16.4,16.9
24/05/2019,96,9.5,12.1,5.9,12,ESE,13.3,35.6,0,9.8,20.9
25/05/2019,80,12.7,21.8,6.9,3,WNW,14.4,31.2,0.6,14.9,21.9
